Number,Number of Iterations,Number of Moves,Time (seconds)
10,1163.0,1262.0,0.15248799324035645
11,2681.0,2922.0,0.4456667900085449
12,1245.0,1376.0,0.26857709884643555
13,27831.0,30677.0,7.550934076309204
14,1605.0,1786.0,0.5479140281677246
15,7626.0,8465.0,3.1688129901885986
16,1324.0,1483.0,0.6674809455871582
17,1394.0,1580.0,0.8411803245544434
18,2946.0,3341.0,2.132662057876587
19,542.0,617.0,0.455049991607666
20,14055.0,15954.0,14.388272047042847
21,2422.0,2778.0,2.8617868423461914
22,2511.0,2928.0,3.437875986099243
23,5314.0,6118.0,8.098257064819336
24,4278.0,4877.0,7.7653069496154785
25,5009.0,5758.0,9.784170150756836
26,8393.0,9744.0,18.214781045913696
27,2466.0,2897.0,5.858903169631958
28,709.0,820.0,1.8728859424591064
29,18037.0,21081.0,53.66404891014099
30,3269.0,3838.0,11.193841218948364
